# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT ,DIP,DIP
77,DZF,DZF,DZF,10/26/2025,DZF,164,Local crossbred,Cow,Yes,Left,15,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,8,1,,7,,Open,,,,10/18/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
78,DZF,DZF,DZF,10/26/2025,DZF,168,Local crossbred,Cow,.,Right,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,608,Grey Brahman,1.9,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
79,DZF,DZF,DZF,10/26/2025,DZF,169,Local crossbred,Cow,Yes,Left,18,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,609,Grey Brahman,2.3,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
80,DZF,DZF,DZF,10/26/2025,DZF,173,Local crossbred,Cow,.,Right,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
81,DZF,DZF,DZF,10/26/2025,DZF,182,Local crossbred,Cow,Yes,Right,15.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Pregnant,,,,10/18/2025,609,Grey Brahman,2.3,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,115
82,DZF,DZF,DZF,10/26/2025,DZF,187,Local crossbred,Cow,.,Left,16.2,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Masroor,,6,1,,7,,Open,,,,10/18/2025,602,Grey Brahman,2.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
83,DZF,DZF,DZF,10/26/2025,DZF,190,Local crossbred,Cow,Yes,Right,12,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Pregnant,,,,10/18/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,115
84,DZF,DZF,DZF,10/26/2025,DZF,195,Local crossbred,Cow,.,Right,11,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Masroor,,6,1,,7,,Open,,,,10/18/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
85,DZF,DZF,DZF,10/26/2025,DZF,196,Local crossbred,Cow,Yes,Right,16,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
86,DZF,DZF,DZF,10/26/2025,DZF,198,Local crossbred,Cow,.,Right,18,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Masroor,,7,1,,7,,Pregnant,,,,10/18/2025,827,Red Brahman,3.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,115
